category,subcategory,item_id,price,price_s,price_l,addon,note
shisha,tiers,standard,11.00,,,,
shisha,tiers,exclusive,14.90,,,,
shisha,addons,iceInVase,1.00,,,x,
shisha,addons,dyeInVase,1.50,,,x,
shisha,addons,fruitInVase,2.00,,,x,
alcohol,shots,russianStandardGold,3.50,,,,
alcohol,shots,jackDaniels,3.90,,,,
alcohol,shots,jackDanielsSingleBarrel,7.50,,,,
alcohol,shots,beefeater,2.90,,,,
alcohol,shots,diplomatico,5.90,,,,
alcohol,shots,jagermeister,2.90,,,,
alcohol,shots,hennessyVS,5.50,,,,
alcohol,shots,olmecaPlata,3.90,,,,
alcohol,shots,olmecaReposado,3.90,,,,
alcohol,shots,havanaClub,3.10,,,,
alcohol,shots,baileys,2.90,,,,
alcohol,shots,martiniBianco,3.90,,,,
alcohol,cocktails,ginTonic,5.50,,,,
alcohol,cocktails,cubaLibre,5.70,,,,
alcohol,cocktails,mojito,5.80,,,,
alcohol,cocktails,strawberryMojito,5.90,,,,
alcohol,cocktails,luxuryMojito,8.50,,,,
alcohol,cocktails,tequilaSunrise,6.90,,,,
alcohol,cocktails,aperolSpritz,5.50,,,,
alcohol,cocktails,elderflowerSpritz,5.50,,,,
alcohol,cocktails,mimosa,5.50,,,,
alcohol,cocktails,russianStandardRedBull,5.90,,,,
alcohol,prosecco,proseccoDOC,4.50,,,,
alcohol,prosecco,laurentPerrier,99.00,,,,
alcohol,beer,pilsnerUrquell,,1.90,2.90,,
alcohol,beer,wywar,2.20,,,,
alcohol,beer,radlerNonAlcoholic,2.20,,,,
alcohol,wine,wine,2.00,,,,
alcohol,wine,mulledWine,3.90,,,,
snacks,food,panini,3.90,,,,
snacks,food,popcorn,2.10,,,,
snacks,food,nachos,2.10,,,,
snacks,food,cheeseSauce,1.00,,,x,
snacks,food,peanutPuffs,1.90,,,,
snacks,food,saltedSticks,1.90,,,,
snacks,desserts,hotChocolate,3.50,,,,
snacks,desserts,granko,2.20,,,,
lemonades,homemade,lemonade,,2.20,3.30,,
lemonades,homemade,elderflowerLemon,,2.50,3.60,,
lemonades,homemade,blackcurrantLemon,,2.50,3.60,,
lemonades,homemade,raspberryLemon,,2.50,3.60,,
lemonades,homemade,cherryLemon,,2.50,3.60,,
lemonades,homemade,grapefruitLemon,,2.50,3.60,,
lemonades,homemade,strawberryLemon,,2.50,3.60,,
lemonades,homemade,kiwiLemon,,2.50,3.60,,
lemonades,homemade,mangoLemon,,2.50,3.60,,
lemonades,homemade,mojitoStyle,,2.60,3.80,,
lemonades,bottled,cocaCola,2.30,,,,
lemonades,bottled,cocaColaZero,2.30,,,,
lemonades,bottled,romerquelle,1.90,,,,
lemonades,bottled,orangeJuice,1.90,,,,
lemonades,bottled,kinleyTonic,2.30,,,,
lemonades,bottled,kinleyBitterRose,2.30,,,,
lemonades,bottled,kinleyGingerAle,2.30,,,,
lemonades,bottled,redBull,3.00,,,,
lemonades,draft,kofola,,1.30,1.80,,
lemonades,draft,sodaWater,,0.90,1.50,,
tea,black,touaregBlack,,2.20,3.30,,
tea,black,rize,,2.20,3.30,,
tea,green,touareg,,2.20,3.30,,
tea,green,chinaJasmin,,2.40,3.60,,
tea,green,diamondTea,,2.40,3.60,,
tea,fruit,appleCinnamon,,2.40,3.60,,
tea,fruit,strawberriesChampagne,,2.40,3.60,,
tea,fruit,kamasutra,,2.40,3.60,,
tea,fresh,freshGingerTea,,2.40,3.60,,
tea,fresh,freshMintTea,,2.40,3.60,,
tea,mate,mateGreen,,2.20,3.30,,
tea,mate,mateIQ,,2.40,3.60,,
tea,white,paiMuTan,,2.50,3.80,,
tea,herbal,hibiscus,,2.20,3.30,,
tea,herbal,chamomile,,2.20,3.30,,
tea,rooibos,teaOfPharaohs,,2.40,3.60,,
tea,rooibos,tantra,,2.40,3.60,,
tea,rooibos,hercules,,2.40,3.60,,
tea,rooibosMilk,kingOfMonkeys,,3.00,4.90,,
tea,rooibosMilk,littleYeti,,3.00,4.90,,
tea,rooibosMilk,tantraMilk,,3.00,4.90,,
tea,extras,honey,,0.50,1.00,x,
tea,extras,ginger,,0.70,1.40,x,
tea,extras,lactoseFreeMilk,0.50,,,x,
coffee,hot,espresso,1.40,,,,
coffee,hot,espressoDoppio,1.90,,,,
coffee,hot,cappuccino,2.10,,,,
coffee,hot,cappuccinoCaramel,2.50,,,,
coffee,hot,cappuccinoChocolate,2.50,,,,
coffee,hot,latteMacchiato,2.30,,,,
coffee,hot,latteMacchiatoCaramel,2.70,,,,
coffee,hot,latteMacchiatoChocolate,2.70,,,,
coffee,iced,icedCoffee,1.90,,,,
coffee,iced,icedCappuccino,2.30,,,,
coffee,iced,espressoTonic,2.90,,,,
coffee,iced,raspberryEspressoTonic,3.50,,,,
coffee,extras,honey,0.50,,,x,
coffee,extras,maresiMilk,0.20,,,x,
coffee,extras,topping,0.40,,,x,
coffee,extras,whippedCream,0.50,,,x,
